Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-30 14:04:00+00:00,385.54,385.7,384.81,1820,384.83,90350,385.169763,MSFT
2025-04-30 14:05:00+00:00,385.73,385.9275,385.31,2220,385.48,43038,385.601544,MSFT
2025-04-30 14:06:00+00:00,385.815,386.03,385.6201,1072,385.73,37494,385.802342,MSFT
2025-04-30 14:07:00+00:00,385.46,385.8739,385.09,992,385.83,30311,385.443662,MSFT
2025-04-30 14:08:00+00:00,386.1901,386.286,385.32,819,385.51,23756,385.734548,MSFT
2025-04-30 14:09:00+00:00,386.3612,386.6,386.2,1129,386.27,41631,386.433603,MSFT
2025-04-30 14:10:00+00:00,386.21,386.57,385.92,1165,386.37,46746,386.251494,MSFT
2025-04-30 14:11:00+00:00,386.49,386.5415,386.115,1106,386.18,50003,386.322848,MSFT
2025-04-30 14:12:00+00:00,386.88,386.89,386.45,871,386.5,31049,386.73281,MSFT
2025-04-30 14:13:00+00:00,387.1324,387.2557,386.78,1021,386.925,29337,387.020126,MSFT
2025-04-30 14:14:00+00:00,387.49,387.55,387.115,1247,387.12,53878,387.384541,MSFT
2025-04-30 14:15:00+00:00,387.67,387.69,387.1001,1459,387.55,110777,387.430179,MSFT
2025-04-30 14:16:00+00:00,387.3,387.63,387.2,914,387.605,35453,387.451517,MSFT
2025-04-30 14:17:00+00:00,386.9999,387.2438,386.91,791,387.23,55890,387.063322,MSFT
2025-04-30 14:18:00+00:00,387.22,387.24,386.88,1015,387.021,43342,387.039038,MSFT
2025-04-30 14:19:00+00:00,387.71,387.75,387.12,1254,387.18,84677,387.471413,MSFT
2025-04-30 14:20:00+00:00,387.42,387.79,387.29,889,387.705,36833,387.581768,MSFT
2025-04-30 14:21:00+00:00,387.48,387.73,387.3101,844,387.47,40319,387.584114,MSFT
2025-04-30 14:22:00+00:00,387.25,387.57,387.22,673,387.52,21506,387.394524,MSFT
2025-04-30 14:23:00+00:00,387.43,387.56,387.185,921,387.19,40617,387.411852,MSFT
2025-04-30 14:24:00+00:00,387.9851,388.0,387.41,941,387.4848,45555,387.768645,MSFT
2025-04-30 14:25:00+00:00,387.8,387.94,387.55,888,387.94,33334,387.735212,MSFT
2025-04-30 14:26:00+00:00,388.13,388.13,387.68,655,387.8,22147,387.887317,MSFT
2025-04-30 14:27:00+00:00,388.055,388.22,387.85,800,388.13,34702,388.05721,MSFT
2025-04-30 14:28:00+00:00,388.03,388.22,387.86,840,388.145,31180,388.046454,MSFT
2025-04-30 14:29:00+00:00,388.505,388.5606,388.02,965,388.02,36713,388.428031,MSFT
2025-04-30 14:30:00+00:00,388.72,388.9,388.1307,1130,388.505,67527,388.605135,MSFT
2025-04-30 14:31:00+00:00,388.76,389.0,388.69,1172,388.735,35703,388.833079,MSFT
2025-04-30 14:32:00+00:00,388.5,389.0,388.44,872,388.8,33703,388.711853,MSFT
2025-04-30 14:33:00+00:00,388.66,388.89,388.54,701,388.54,19618,388.740155,MSFT
2025-04-30 14:34:00+00:00,388.56,388.894,388.56,709,388.64,22853,388.722352,MSFT
2025-04-30 14:35:00+00:00,388.39,388.61,388.18,867,388.61,31937,388.331663,MSFT
2025-04-30 14:36:00+00:00,388.08,388.51,388.06,785,388.405,29305,388.285989,MSFT
2025-04-30 14:37:00+00:00,388.257,388.44,388.05,1006,388.11,60670,388.169593,MSFT
2025-04-30 14:38:00+00:00,387.98,388.25,387.7614,754,388.25,28888,387.969676,MSFT
2025-04-30 14:39:00+00:00,388.15,388.32,387.97,553,387.98,19847,388.159601,MSFT
